URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/art/4-common-corners-hidden-life-exhibit/77201/",73,64,83,54,92,2739.26,25765.04,0,53,3,7100.8,0,0,1,1,0,0,1,1,1
"/event/art/a-century-of-centerville-women-1847-1947-for-womens-history-month/77415/",73,64,83,54,92,3040.15,25599.78,0,65,15,6385.02,0,0,1,1,0,0,1,1,1
"/event/art/america250%3a-south-jordan-2026-art-show/77658/",83,64,78,96,92,3118.52,11156.05,0,23,0,6234.61,0,0,1,1,0,1,1,1,1
"/event/art/art-%2b-wellness%3a-yoga/76876/",72,60,83,54,92,3314.3,30370.71,0,53,3,10893.03,0,0,1,1,0,0,1,1,1
"/event/art/art-exhibition%3a-we-are-all-migrants/76011/",74,65,83,54,92,2582.94,26091.47,0,54,4,6949.68,0,0,1,1,0,0,1,1,1
"/event/art/art-in-the-park-2026-%7c-west-jordan%e2%80%99s-premier-arts-festival/76322/",78,65,83,73,92,3038.66,12008.15,0,53,1.5,5456.14,0,0,1,1,0,0,1,1,1
"/event/art/artist-factory-after-school%3a-graphic-design-with-crezna-crouse/77455/",79,68,83,73,92,3039.5,12920.42,0,54,2,4196.69,0,0,1,1,0,0,1,1,1
"/event/art/artist-talk%3a-jacob-riddle/77727/",73,61,83,54,92,3179.37,27502.23,0,55,5,9487.58,0,0,1,1,0,0,1,1,1
"/event/art/artwalk-moab-august-2026/74802/",73,63,83,54,92,2738.59,27626.98,0,54,4,8007.78,0,0,1,1,0,0,1,1,1
"/event/art/author-series%3a-claire-rosen-birds-of-a-feather/77514/",79,68,83,73,92,2742.21,12647.48,0,55,5,4374.24,0,0,1,1,0,0,1,1,1
"/event/art/bad-dog-art-club/76270/",79,68,83,73,92,3039.36,12875.37,0,53,1.5,4068.56,0,0,1,1,0,0,1,1,1
"/event/art/bank-of-america%26%238211%3b-museums-on-us/78003/",78,65,83,73,92,3635.52,13536.18,0,53,1.5,4903.61,0,0,1,1,0,0,1,1,1
"/event/art/book-basket-swap-night-%26-watercolor-bookmarks/77884/",73,61,83,54,92,3039.34,24381.96,0,53,3,9181.36,0,0,1,1,0,0,1,1,1
"/event/art/bunny-hop-breakfast-2026/77050/",78,63,86,73,92,3112.78,11849.9,0.01,23,0,6639.46,0,0,1,1,0,0,1,1,1
"/event/art/celebrate-at-the-confluence-2026/77892/",74,65,83,54,92,2739.5,21484.42,0,52,2,6515.81,0,0,1,1,0,0,1,1,1
"/event/art/christkindlmarkt-at-this-is-the-place-2026/76378/",74,65,83,54,92,2584.34,21161.56,0,53,3,7080.08,0,0,1,1,0,0,1,1,1
"/event/art/communitas-lecture-series%3a-sad%c3%a9-ayorinde-and-chadric-devin/77691/",73,64,83,54,92,2738.87,25769.15,0,51,1,6916,0,0,1,1,0,0,1,1,1
"/event/art/craft-lake-city-youth-entrepreneur-program-powered-by-venturelab/77101/",73,62,83,54,92,3038.05,27929.2,0,62,12,8214.7,0,0,1,1,0,0,1,1,1
"/event/art/digital-art%3a-beginning-%26-intermediate-procreate/75207/",73,63,83,54,92,3037.95,23873.01,0,54,4,6818.83,0,0,1,1,0,0,1,1,1
"/event/art/drawing-for-homeschoolers-(ages-8-12)/75208/",73,63,83,54,92,3038.69,28461.61,0.01,65,15,7110.91,0,0,1,1,0,0,1,1,1
"/event/art/drawing-for-homeschoolers/75212/",73,62,83,54,92,2742.17,26976.21,0,55,9,8700.67,0,0,1,1,0,0,1,1,1
"/event/art/drawing%3a-foundations/76878/",73,63,83,54,92,2738.9,27207.38,0,54,4,8081.79,0,0,1,1,0,0,1,1,1
"/event/art/exploring-nature%e2%80%99s-hidden-worlds-%7c-anand-varma-keynote-lecture/77737/",74,62,86,54,92,2987.34,30025.31,0,54,4,8674.34,0,0,1,1,0,0,1,1,1
"/event/art/felted-succulents-plants-or-cactus-class/77947/",73,61,83,54,92,3039.95,29527.01,0,55,5,9466.56,0,0,1,1,0,0,1,1,1
"/event/art/fix-it-day/76816/",79,67,83,73,92,3040.21,12986.55,0,67,17,4662.56,0,0,1,1,0,0,1,1,1
"/event/art/fix-it-day/77948/",79,68,83,73,92,3038.55,12350.97,0,55,2.5,4226.85,0,0,1,1,0,0,1,1,1
"/event/art/introduction-to-art-materials-and-techniques-for-kids/75304/",74,66,83,54,92,2738.99,22149.78,0,80,58,5802.2,0,0,1,1,0,0,1,1,1
"/event/art/launch-of-new-art-%26%238211%3b-outdoor-sculpture-gallery-%7c-art-around-the-corner/77557/",79,68,83,73,92,3038.05,13088.3,0,111,30.5,3696.79,0,0,1,1,0,0,1,1,1
"/event/art/meet-the-fletchers/74665/",79,68,83,73,92,3038.87,13197.17,0,90,20,3881.03,0,0,1,1,0,0,1,1,1
