"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","text/html; charset=utf-8","200","OK","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/bars/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/the-phantom-of-the-opera/68166/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/south-valley/draper/shopping/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hostels-universities/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/ski-super-pass/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/events/free-events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/distilleries/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.visitsaltlake.com/event/yellow-days-live-at-the-complex/74868/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
