"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/blog/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
