"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","20","Salt Lake Ski Super Pass","24","The Great Salt Lake","19","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","5","Utah National Parks","19","10 National Parks within 6 Hours","32","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","4","American & Burgers","18","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","15","Beekeeper Daniel Adesina Oduntan and Bee-Craft Consult","54","Food & Drink","12","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","4","Near Convention Center","22","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","4","Group Dining","12","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","28","The People and Places of Salt Lake","34","What is Salt of the Earth?","26","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","10","Buy Your Salt Lake Ski Super Pass","33","Ski Resorts","11","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","4","Get around Salt Lake with a GREENbike","37","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","12","Jazz Anniversary Mural","22","By the numbers","14","Indexable",""
"https://www.visitsaltlake.com/members/","9","The Power of Membership","23","Access","6","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","10","Downtown Salt Lake","18","For Visitors","12","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","4","Walk with Pride","15","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","9","Visit Salt Lake","15","Silicon Slopes and Visit Salt Lake Announce Tickets on Sale for SUMMIT","70","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","6","Shopping","8","Shopping","8","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","7","South Mountain Golf Course","26","South Valley","12","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/","11","Golfing in Cottonwood Heights","29","Restaurants","11","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/winter-activities/snow-tubing-sledding/","4","Snow Tubing & Sledding","22","Visitors Guide","14","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/restaurants/","5","Nature is Delicious Here — Log Haven Restaurant","47","The Salt Lake Scene","19","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/restaurants/","5","Don't miss the Cajun-fare and wide selection of beer at The Bayou","65","The Salt Lake Scene","19","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/history-of-salt-lake/","9","Scenic Salt Lake","16","Early History of Salt Lake","26","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/hotels-lodging/","5","Hotels","6","The Salt Lake Scene","19","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/historic-temple-square/","17","Temple Square - Salt Lake's Most Popular Attraction","51","Temple Square Renovation Update","31","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/public-transportation/","7","Salt Lake's Unparalleled Public Transportation","46","How to Ride","11","Indexable",""
"https://www.visitsaltlake.com/members/become-a-member/","15","Become a Member of Visit Salt Lake","34","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/member-listings/","4","Jazz Anniversary Mural","22","Visitors Guide","14","Non-Indexable","noindex"
"https://www.visitsaltlake.com/midvalley/holladay-murray/bars/","5","Bars","4","The Salt Lake Scene","19","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/","11","University / Foothill","21","Restaurants","11","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/hotels-and-lodging-near-brighton/","10","Buy Your Salt Lake Ski Super Pass","33","Ski Resorts","11","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/rafting-kayaking/","3","Visitors Guide","14","Newsletter Sign Up","18","Indexable",""
