"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","1","Non-Indexable","noindex","https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","","noindex","","","","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/bars/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/south-valley/draper/shopping/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/midvalley/millcreek/","1","Indexable","","https://www.visitsaltlake.com/midvalley/millcreek/","","","","","","",""
"https://www.visitsaltlake.com/places-to-stay/hostels-universities/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","1","Indexable","","https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","","","","","","",""
"https://www.visitsaltlake.com/events/free-events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/restaurants/distilleries/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","1","Indexable","","https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","1","Indexable","","https://www.visitsaltlake.com/about-us/green-meeting-standards/","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","1","Indexable","","https://www.visitsaltlake.com/neighborhoods/southwest-valley/","","","","","","",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","","","","","","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","1","Indexable","","https://www.visitsaltlake.com/about-us/brand-guidelines/","","","","","","",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","1","Indexable","","https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","","","","https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/?page=2","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/blog/stories/","1","Indexable","","https://www.visitsaltlake.com/blog/stories/","","","","https://www.visitsaltlake.com/blog/stories/?page=2","","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","0","Indexable","","","","","","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","0","Indexable","","","","","","","","",""
