"Site Crawled","https://www.visitsaltlake.com/"
"Start Date","2026-03-25"
"Start Time","00:50:07"
"Last Modified Date","2026-03-25"
"Last Modified Time","01:01:35"
"Elapsed","00:11:28"
"Report Date","2026-03-25"
"Report Time","01:02:27"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"<th> Element Requires Associated Data Cells","0","0.00%","1801",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","1801",""
"Table Headers Require Discernible Text","0","0.00%","1801",""
"Table With Identical Summary & Caption Text","0","0.00%","1801",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","1801",""
""
"Custom Search"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1801","100.00%","1801","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","2001","100.00%","2001","Internal HTML pages with 2xx response"
""
"Analytics"
"All","2033","100.00%","2033","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","2033","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","2033","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","2033","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","2033","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","2033","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","2033","100.00%","2033","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","2033","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","2033","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2236","100.00%","2236","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2236","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2236","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2236","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2236","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2236","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2236","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2236","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","2236","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","2236","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","2236","Internal URLs with 2xx response"
""
"Link Metrics"
"All","2100","100.00%","2100","Internal HTML/PDF pages"
""
"AI"
"All","2001","100.00%","2001","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.06%","1801","Internal HTML pages with 2xx response"
"1","408","22.65%","1801","Internal HTML pages with 2xx response"
"2","954","52.97%","1801","Internal HTML pages with 2xx response"
"3","308","17.10%","1801","Internal HTML pages with 2xx response"
"4","80","4.44%","1801","Internal HTML pages with 2xx response"
"5","37","2.05%","1801","Internal HTML pages with 2xx response"
"6","9","0.50%","1801","Internal HTML pages with 2xx response"
"7","4","0.22%","1801","Internal HTML pages with 2xx response"
"8","0","0.00%","1801","Internal HTML pages with 2xx response"
"9","0","0.00%","1801","Internal HTML pages with 2xx response"
"10+","0","0.00%","1801","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.visitsaltlake.com/members/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/press-research/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/contact/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/about-us/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/privacy-policy/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/sitemap/","1801","100.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/plan-your-visit/subscribe/","1794","99.61%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/press-research/press-releases/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/become-a-member/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/member-resources/member-listings/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/about-us/brand-guidelines/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/press-research/photos-videos/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/press-research/awards-rankings/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/about-us/sponsorship-request/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/member-events/member-portal-trainings/","1747","97.00%","1801","Internal HTML pages with 2xx response"
"https://www.visitsaltlake.com/members/member-events/quarterly-luncheons/","1747","97.00%","1801","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2114","97.78%"
"2","47","2.17%"
"3","1","0.05%"
