"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","1","University / Foothill Bars & Nightlife","38","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","1","Category: Meetings & Conventions","32","","0","Indexable",""
"https://www.visitsaltlake.com/events/free-events/","1","Free (or Cheap) Events in Salt Lake","35","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/distilleries/","1","Salt Lake City Microbreweries & Distilleries","44","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","1","Cycling in Salt Lake","20","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","1","Scenic Drives Near Salt Lake City","33","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","1","A Western Weekend in Salt Lake","30","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","1","Transportation to the Resorts","29","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","1","Sugar House Restaurants","23","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","1","Beer in the Beehive","19","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","1","Cottonwood Heights Restaurants","30","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","1","Hiking","6","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","1","Green Meeting Standards","23","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","1","Avenues/Capitol Hill Hotels & Lodging","37","","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","2","Southwest Valley","16","Map of Salt Lake County with the Southwest section highlighted","62","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","1","Experience Island Life with Salt Lake’s Vibrant Pacific Islander Community","74","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","1","Indian","6","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","1","Granary / Ballpark Events","25","","0","Indexable",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","1","Sandy Shopping","14","","0","Indexable",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","1","Logos & Brand Guidelines","24","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","1","Category: Things to Do","22","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","1","Adventure Sports","16","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","1","Avenues / Capitol Hill Events","29","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/","0","","0","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","1","Italian","7","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","1","Recreation Centers","18","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","2","Where to Eat Right Now in Salt Lake","35","Where People are Eating in America's Mountain City","50","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","1","Historic Sites in Salt Lake City","32","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","1","Cottonwood Heights Events","25","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","2","Downtown Salt Lake","18","Salt Lake City - Downtown","25","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","1","Midvale Restaurants","19","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","1","South Salt Lake Hotels & Lodging","32","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","1","Bed & Breakfast Inns in Salt Lake","33","","0","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","1","Southwest Valley Hotels & Lodging","33","","0","Indexable",""
"https://www.visitsaltlake.com/blog/","1","The Salt Lake Scene","19","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","1","A Quick Guide to Fun in Salt Lake","33","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","1","Granary / Ballpark Shopping","27","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","1","Lodging near Alta Ski Area","26","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","1","Sugar House Hotels & Lodging","28","","0","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","2","Little Cottonwood Canyon: Home to Alta and Snowbird","51","Map of Little Cottonwood in Mountain Resorts","44","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","1","Snowbird Lift and Tram Tickets and Passes","41","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","1","Ski Super Pass Hotels","21","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","1","Social Activities in Salt Lake City","35","","0","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","1","Annual Events in Salt Lake","26","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","1","Midvale Events","14","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","1","Holladay / Murray Restaurants","29","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","1","The Visitor Experience Exchange:","32","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","1","Farmers’ Markets","16","","0","Indexable",""
"https://www.visitsaltlake.com/film/","1","Filming in Salt Lake","20","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","1","Japanese","8","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","1","Midvale","7","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","1","Resort Lodging in Salt Lake","27","","0","Indexable",""
"https://www.visitsaltlake.com/press-research/photos-videos/","1","Photos & Videos","15","","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","1","Spring Festivals in Salt Lake","29","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","1","Downtown Salt Lake","18","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","1","Salt Lake and Beyond Itinerary","30","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/","1","Holladay / Murray","17","","0","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/bars/","1","Southwest Valley Bars & Nightlife","33","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lift-tickets-and-passes-for-alta/","1","Lift Tickets and Ski Passes at Alta Ski Area","44","","0","Indexable",""
