"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/ccl/side_by_side/shared_theme.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/rafting-kayaking/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/","",""
"https://www.visitsaltlake.com/press-research/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/press-research/","",""
"https://www.visitsaltlake.com/event/peter-pan-goes-wrong/74857/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/requirejs_config_d47b3c8f_e260d78a.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/utah-state-parks/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-community-resources/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-community-resources/","",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/community-resources/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/includes/public/assets/shared/made-by-sv-white-compressed.svg","image/svg+xml","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/seafood/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/restaurants/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/events/submit-events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/events/submit-events/","",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-rentals/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/places-to-stay/campgrounds-rv-parks/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/south-valley/sandy/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/winter-activities/ice-skating/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","noindex",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/bars/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/event/the-phantom-of-the-opera/68166/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/south-valley/draper/shopping/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/millcreek/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/midvalley/millcreek/","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/common/virtuals/css/custom_form_popup_style_helper.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/places-to-stay/hostels-universities/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/tours-experiences/ski-super-pass/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","",""
"https://www.visitsaltlake.com/events/free-events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/restaurants/distilleries/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/libs/sv/requirejs/public/require.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/about-us/green-meeting-standards/","",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/neighborhoods/southwest-valley/","",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/event/yellow-days-live-at-the-complex/74868/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/about-us/brand-guidelines/","",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/event/hannah-berner%3A-none-of-my-business-tour/74043/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/blog/stories/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/blog/stories/","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/common/virtuals/css/custom_core_styles.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/salt-lake-city/downtown/","",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/blog/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/blog/","",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/ab_testing/virtuals/css/shared.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/dynamic_content/virtuals/css/shared.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/events/annual-events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/events/annual-events/","",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","noindex","https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","noindex",""
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/film/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/film/","",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/midvalley/midvale/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/midvalley/midvale/","",""
"https://www.visitsaltlake.com/event/seussical-the-musical/76210/","text/html; charset=UTF-8","301","Moved Permanently","1.1","Non-Indexable","Redirected","","",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/widget_template_custom_regions_map.css","text/css","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","text/html; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.visitsaltlake.com/press-research/photos-videos/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.visitsaltlake.com/press-research/photos-videos/","",""
