"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","1","Please fill out the form below to join any of our mailing lists. You will be able to manage your subscription via a link on each newsletter. You can also view our privacy policy, check out past issues of our email newsletters in the archive, and subscribe to the Weekly Event Update from our events partner, NowPlayingUtah.com","326","1978","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","1","With four ski resorts within 35 miles of the airport, Salt Lake City offers travelers easy access to skiing at Alta, Brighton, Solitude, and Snowbird.","150","879","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/bars/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/south-valley/draper/shopping/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/","1","Nestled right at the base of the Wasatch Mountains, Millcreek is something of an outdoor-gear mecca. Not only can you shop for gear in this neighborhood, you can climb at a state of the art gym, hike with your dog and fine dine in the canyon.","242","1485","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hostels-universities/","1","Find hostels and university housing for your stay in Salt Lake City. Get unique, budget-friendly accommodations for your stay.","126","773","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","1","Salt Lake is the perfect place to go for a fun night out. From local breweries to nightclubs, you're sure to have the time of your life with your friends.","154","899","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/events/free-events/","1","Find fun, free activities in Salt Lake City with our events calendar - including kids activities, scavenger hunts, lectures, and outdoor fun.","141","822","Indexable",""
"https://www.visitsaltlake.com/restaurants/distilleries/","1","Salt Lake City has more than just clubs and bars, but also microbreweries, brew pubs and distilleries such as EPIC Brewing Co, Red Rock Brewing Co, and more.","157","978","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","1","Salt Lake City has one of the most popular cycling scenes in the country because of the diverse options the city offers to road and mountain cyclists alike.","156","942","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","1","Explore Salt Lake City's beautiful landscape with a leisurely scenic drive. View our suggestions of places to drive to get the most of our natural beauty.","154","919","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","1","Navigate Salt Lake City's ski resorts with ease. The Utah Transit Authority provides Ski Bus services to and from Alta, Brighton, Snowbird, and Solitude.","153","925","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","1","Sugar House restaurants are full of flavors from around the world. Whether you're planning a date night or eating with friends, delicious food is guaranteed.","157","956","Indexable",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","1","Get the inside scoop on the best bars and nightclubs in Salt Lake City, as well as which breweries you'll find the best local craft beer in.","140","820","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","1","Grab some delicious Tex-Mex at Lone Star Taqueria or enjoy some soup after a long day in the mountains at the Porcupine Grill. Find local restaurants here.","155","955","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","1","Experience the great outdoors of Salt Lake City. Find parks, trails, and nature preserves to hike, including canyon trails and routes through ski resorts.","154","918","Indexable",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","1","Visit Salt Lake has a set list of guidelines we follow to ensure green practices are part of business operations and meeting. View our complete list.","149","891","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","1","Against the foothills of the Oquirrh Mountains, West Jordan, South Jordan, Bluffdale and Herriman are doorways to outdoor activities, including biking, hiking, golfing.","168","1022","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","1","Enjoy authentic Indian food in the heart of Salt Lake City, Utah! Explore delicious Indian, Nepalese, and South Asian cuisine throughout the SLC area.","150","911","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","1","Learn about Visit Salt Lake's brand and find guidelines to using our logos in your materials. Have questions? Just contact our friendly staff!","142","856","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","1","Choose your own adventure in Salt Lake City! We have plenty of exciting outdoor sports and recreation options that you'll find something for everyone.","150","924","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/blog/stories/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","1","Salt Lake City is a great place for recreation. Discover fun locations like aquatic centers, kart racing, fitness centers, and other outdoor activities.","152","884","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","1","Where to eat in Salt Lake? Discover iconic dishes, local favorites, and new restaurants in this ultimate guide for out-of-state visitors.","137","806","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","1","Salt Lake City’s many historical sites are perfect for exploring Utah. View details and reviews of historic attractions, including museums and monuments.","153","938","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","1","Catch a car show or grab some dinner with the family at a food truck meetup. There are always fun events and activities happening in Cottonwood Heights.","152","957","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","1","Visiting Downtown Salt Lake City? In the heart and soul of Salt Lake City, you'll find great places to stay, restaurants, bars, things to do, and events.","153","904","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","1","Looking for places to eat in Midvale? Discover local ingredients and delicious cocktails at a variety of local restaurants perfect for your next meal.","150","889","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","1","Discover comfortable and conveniently located hotels in South Salt Lake! Find the perfect accommodation ranging from luxurious hotels to budget-friendly motels.","160","1000","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","1","Bed & Breakfast options in Salt Lake City range from unique historic properties to modern inns with luxury suites. See details including maps and reviews.","154","941","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/blog/","0","","0","0","Indexable",""
